Organization Key,Organization Id,Organization,Organization Name,Org Parent Key,Org Parent,Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,D Code,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
126,126,CHEM,CHEMISTRY,230,S SCI,PROVST,152000,5,152000,0101060177,1,5,"",01/08/16 05:13 AM,D_CHEM,152000,10000491,Chemistry
131,131,CIS,C FOR INT STUDIE,230,S H&SS,PROVST,097500,5,097500,0101060138,1,"","",01/08/16 05:13 AM,D_CIS,097500,10000371,Center for International Studies
135,135,CMS/W,COMPARATIVE MEDIA STUDIES,230,S H&SS,PROVST,093800,5,093800,0101060139,1,CMS,"",01/08/16 05:13 AM,D_CMS,093800,10000366,Comparative Media Studies/Writing
147,147,DINING,CAMPUS DINING,129,DSL,CHNCLR,801000,5,801000,0101030304,1,"","",01/08/16 05:13 AM,D_DINING,801000,10000889,Dining
162,162,ESTDY,EXPER STUDY GRP,129,DUE,CHNCLR,159000,5,159000,0101030407,1,"","",01/08/16 05:13 AM,D_ESG,159000,10000541,Experimental Study Group
165,165,FBML,F BITTER MAG LAB,230,VP-RES,PROVST,265000,5,265000,0101060219,1,"","",01/08/16 05:13 AM,D_MAGLAB,265000,10000576,Francis Bitter Magnet Laboratory
170,170,HHMI,HH MEDICAL INST,271,ZORG,ZORG,"",4,"",0101120006,1,"","",01/08/16 05:13 AM,"","","",""
171,171,HIST,HISTORY,230,S H&SS,PROVST,093400,5,093400,0101060143,1,21H,"",01/08/16 05:13 AM,D_HISTORY,093400,10000363,History Section
172,172,HMNRES,HUMAN RESOURCES,163,VP-HUM,EXECVP,409000,5,409000,0101030663,1,"","",01/08/16 05:13 AM,D_HR,409000,10000653,Human Resources
178,178,IPC,IND PERFORM CTR,230,S ENG,PROVST,060300,5,060300,0101060090,1,"","",01/08/16 05:13 AM,D_NUCENG,060300,10000292,Industrial Performance Center
179,179,IS&T,INFO SVCS & TECH,163,EXECVP,EXECVP,404400,4,404400,0101030637,1,"","",01/08/16 05:13 AM,D_IS&T,404400,10000621,"HQ, Information Systems & Technology"
180,180,ISN,INST SLDR NANOTECH,230,VP-RES,PROVST,417000,5,417000,0101060223,1,"","",01/08/16 05:13 AM,D_ISN,417000,10000933,Institute for Soldier Nanotechnologies
192,192,LIST,LIST VIS ART CTR,230,APRART,PROVST,401812,5,401812,0101060009,1,"","",01/08/16 05:13 AM,D_LVA,401812,10000605,List Visual Arts Center
204,204,MS&E,MATS SCI & ENG,230,S ENG,PROVST,066000,5,066000,0101060114,1,3,"",01/08/16 05:13 AM,D_DMSE,066000,10000325,Materials Science and Engineering
205,205,MTL,MICROSYSTEMS LAB,230,S ENG,PROVST,060600,5,060600,0101060124,1,"","",01/08/16 05:13 AM,D_MTL,060600,10000294,Microsystems Technology Laboratories
209,209,OEI&T,OFF ED IN & TECH,129,DUE,CHNCLR,447100,5,447100,0101030408,1,"","",01/08/16 05:13 AM,D_OEIT,447100,10002734,"ODL, Strategic Education Initiatives"
223,223,POLSCI,POLITICAL SCI,230,S H&SS,PROVST,095500,5,095500,0101060150,1,17,"",01/08/16 05:13 AM,D_POLSCI,095500,10000368,Political Science
226,226,PRHSE,PRESIDENTS HOUSE,163,EXECVP,EXECVP,497400,4,497400,0101030645,1,"","",01/08/16 05:13 AM,D_GRAY,497400,10000803,Gray House
232,232,PUBSVC,PUBLIC REL SVCS,267,VP-SCP,VP-SCP,490000,4,490000,0101090006,1,"","",01/08/16 05:13 AM,D_VP_SEC_CORP,490000,10000789,Institute Affairs
233,233,REGIST,REGISTRAR,129,DUE,CHNCLR,446700,5,446700,0101030417,1,"","",01/08/16 05:13 AM,D_REG,446700,10000760,Registrar's Office
243,243,S ENG,SCH OF ENGINEER,230,PROVST,PROVST,060000,4,060000,0101060051,1,"","",01/08/16 05:13 AM,D_DOE,060000,10000284,School of Engineering
248,248,SEAGRT,SEA GRANT,230,MECH,PROVST,266300,6,266300,0101060123,1,"","",01/08/16 05:13 AM,D_MECHE,266300,10000577,MIT Sea Grant College Program
258,258,TCHREV,TECHNOLOGY REVIEW,271,ZORG,ZORG,876000,4,876000,0101120010,1,"","",01/08/16 05:13 AM,D_TECHREVIEW,876000,10000920,Technology Review
266,266,VP-RES,VP-RSCH,230,PROVST,PROVST,401860,4,401860,0101060204,1,"","",01/08/16 05:13 AM,D_VPRESOFF,401860,10000935,VP & Dean for Research
108,108,APRART,ASSOC PROV ARTS,230,PROVST,PROVST,401813,4,401813,0101060006,1,"","",01/08/16 05:13 AM,D_ARTS,401813,10000606,Office of the Arts
114,114,AUDIT,AUDIT DIVISION,163,EXECVP,EXECVP,423000,4,423000,0101030606,1,"","",01/08/16 05:13 AM,D_AUDIT,423000,10000698,Audit Division
117,117,BIOLGY,BIOLOGY,230,S SCI,PROVST,151000,5,151000,0101060165,1,7,"",01/08/16 05:13 AM,D_BIOLOGY,151000,10000429,Biology
122,122,CAREER,CAREER SERVICES,129,DUE,CHNCLR,446600,5,446600,0101030404,1,"","",01/08/16 05:13 AM,D_CSPA,446600,10000759,Global Education & Career Developmnt Ctr
142,142,CSAIL,COMP SCI & AI LAB,230,VP-RES,PROVST,067900,5,067900,0101060208,1,"","",01/08/16 05:13 AM,D_CSAIL,067900,10000957,Comp Sci & Artificial Intelligence Lab
146,146,DIBNER,DIBNER INSTITUTE,217,OTHNON,OTHNON,401100,4,401100,0101031506,1,"","",01/08/16 05:13 AM,D_DIBNER,401100,10000596,Dibner Institute
148,148,DIRLIB,DIR OF LIBRARIES,230,PROVST,PROVST,270000,4,270000,0101060015,1,"","",01/08/16 05:13 AM,"","","",""
149,149,DOF,DP OF FACILITIES,163,DOFADM,EXECVP,591000,5,591000,0101030624,0,"","",01/08/16 05:13 AM,D_FACILITIES,591000,10000853,Department of Facilities
152,152,DUE,DEAN-UNDERGRD ED,129,CHNCLR,CHNCLR,441000,4,441000,0101030400,1,"","",01/08/16 05:13 AM,D_DUE:HQ,441000,10000722,Dean for Undergraduate Education
157,157,EHS,ENV HLTH & SAFE,163,EXECVP,EXECVP,392000,4,392000,0101030631,1,"","",01/08/16 05:13 AM,D_EHSO,392000,10000591,"Environment, Health & Safety Office"
163,163,EXECVP,EXEC VICE PRES,163,PRES,EXECVP,404500,3,404500,0101030600,1,"","",01/08/16 05:13 AM,D_EXECVP,404500,10000622,Executive Vice President and Treasurer
177,177,INVEST,INVEST MGMT CO,163,EXECVP,EXECVP,420000,4,420000,0101030639,1,"","",01/08/16 05:13 AM,D_MITIMCO,420000,10000673,MIT Investment Management Company
184,184,LE&ES,LAB FOR E&E SYS,230,RLE,PROVST,069300,6,069300,0101060235,1,"","",01/08/16 05:13 AM,D_RLE,069300,10000348,Lab for Electromagnetic Electronic Sys
185,185,LFEE,LAB FOR ENGY&ENV,230,VP-RES,PROVST,320000,5,320000,0101060225,1,"","",01/08/16 05:13 AM,D_LFEE,320000,10000582,MIT Energy Initiative
187,187,LI&DS,LAB INFO&DEC SYS,230,S ENG,PROVST,068700,5,068700,0101060105,1,"","",01/08/16 05:13 AM,D_LIDS,068700,10000338,Lab for Information & Decision Systems
