tid;relationship;related_tid;targrel_id
108144;SUPERSET OF;101568;36702
109085;SUPERSET OF;106614;36703
109668;SUPERSET OF;20014;36705
109668;SUPERSET OF;10781;36707
109668;SUPERSET OF;20171;36708
106727;OVERLAPS WITH;106720;36709
107945;OVERLAPS WITH;104295;36741
107945;OVERLAPS WITH;104299;36742
107945;OVERLAPS WITH;108399;36743
107945;OVERLAPS WITH;107895;36744
107945;EQUIVALENT TO;105020;36745
107945;OVERLAPS WITH;104808;36746
107945;SUBSET OF;109746;36747
107945;OVERLAPS WITH;104710;36748
107945;OVERLAPS WITH;107898;36749
107945;SUPERSET OF;12946;36750
107945;SUPERSET OF;11678;36751
107945;OVERLAPS WITH;104708;36752
107945;OVERLAPS WITH;107896;36753
11060;SUBSET OF;104764;36755
10399;SUBSET OF;104803;36756
11162;SUBSET OF;105088;36759
12709;SUBSET OF;104808;36760
12709;SUBSET OF;104965;36761
12709;SUBSET OF;107898;36762
10055;SUBSET OF;109704;36763
11744;SUBSET OF;104717;36764
10652;SUBSET OF;104974;36765
12283;SUBSET OF;107909;36766
12283;SUBSET OF;104681;36767
12476;SUBSET OF;105034;36768
10086;SUBSET OF;105113;36769
11;SUBSET OF;105006;36783
11;SUBSET OF;105070;36784
11;SUBSET OF;104868;36785
11;SUBSET OF;105096;36786
12697;SUBSET OF;104940;36790
12697;SUBSET OF;107909;36791
12697;SUBSET OF;104681;36792
120;SUBSET OF;105770;36794
59;SUBSET OF;104987;36795
134;SUBSET OF;105773;36796
134;SUBSET OF;104978;36797
144;SUBSET OF;104714;36798
144;SUBSET OF;104841;36799
144;SUBSET OF;105029;36800
222;SUBSET OF;104706;36801
222;SUBSET OF;104297;36802
121;SUBSET OF;105759;36803
121;SUBSET OF;105045;36804
121;SUBSET OF;104785;36805
128;SUBSET OF;104831;36806
128;SUBSET OF;104723;36807
128;SUBSET OF;105670;36808
128;SUBSET OF;104787;36809
271;SUBSET OF;104987;36810
252;SUBSET OF;104834;36811
252;SUBSET OF;104729;36812
252;SUBSET OF;105024;36813
252;SUBSET OF;104790;36814
252;SUBSET OF;104862;36815
155;SUBSET OF;104870;36816
155;SUBSET OF;105759;36817
155;SUBSET OF;104785;36818
11261;SUBSET OF;104951;36819
13;EQUIVALENT TO;106170;36820
11064;SUBSET OF;104896;36824
11064;SUBSET OF;104889;36825
11064;SUBSET OF;104892;36826
12576;SUBSET OF;107936;36827
12576;SUBSET OF;109750;36828
12598;SUBSET OF;104878;36829
11086;SUBSET OF;104739;36830
11941;SUBSET OF;104812;36831
10572;SUBSET OF;104690;36832
10572;SUBSET OF;104871;36833
11242;SUBSET OF;108403;36835
