year,region,name,ratio
2019,384,Côte d’Ivoire,0.71
2020,384,Côte d’Ivoire,0.94
2020,384,Côte d’Ivoire,0.83
2020,384,Côte d’Ivoire,0.75
2005,191,Croatia,1.0
2005,191,Croatia,1.03
2005,191,Croatia,1.05
2010,191,Croatia,1.0
2010,191,Croatia,1.07
2010,191,Croatia,1.12
2015,191,Croatia,1.0
2015,191,Croatia,1.05
2015,191,Croatia,1.05
2018,191,Croatia,1.0
2018,191,Croatia,1.05
2018,191,Croatia,1.05
2019,191,Croatia,1.01
2019,191,Croatia,1.05
2019,191,Croatia,1.05
2005,192,Cuba,0.97
2005,192,Cuba,1.02
2005,192,Cuba,1.06
2010,192,Cuba,0.98
2010,192,Cuba,1.0
2010,192,Cuba,1.03
2015,192,Cuba,0.94
2015,192,Cuba,1.02
2015,192,Cuba,1.11
2018,192,Cuba,0.96
2018,192,Cuba,1.02
2018,192,Cuba,1.09
2019,192,Cuba,0.97
2019,192,Cuba,1.01
2019,192,Cuba,1.08
2020,192,Cuba,0.97
2020,192,Cuba,1.01
2020,192,Cuba,1.07
2005,196,Cyprus,1.0
2005,196,Cyprus,1.02
2005,196,Cyprus,1.03
2010,196,Cyprus,1.0
2010,196,Cyprus,1.01
2010,196,Cyprus,1.02
2015,196,Cyprus,1.0
2015,196,Cyprus,0.99
2015,196,Cyprus,0.99
2018,196,Cyprus,0.99
2018,196,Cyprus,0.98
2018,196,Cyprus,0.96
2019,196,Cyprus,0.99
2019,196,Cyprus,0.97
2019,196,Cyprus,0.96
2005,203,Czechia,0.99
2005,203,Czechia,1.02
2005,203,Czechia,1.03
2010,203,Czechia,1.0
2010,203,Czechia,1.01
2010,203,Czechia,1.01
2015,203,Czechia,1.0
2015,203,Czechia,1.01
2015,203,Czechia,1.02
2018,203,Czechia,1.01
2018,203,Czechia,1.0
2018,203,Czechia,1.01
2019,203,Czechia,1.0
2019,203,Czechia,1.01
2019,203,Czechia,1.02
2018,408,Dem. People's Rep. Korea,1.0
2018,408,Dem. People's Rep. Korea,1.02
2015,408,Dem. People's Rep. Korea,1.01
2015,408,Dem. People's Rep. Korea,1.02
2010,180,Dem. Rep. of the Congo,0.87
2010,180,Dem. Rep. of the Congo,0.58
2010,180,Dem. Rep. of the Congo,0.52
2015,180,Dem. Rep. of the Congo,0.99
2015,180,Dem. Rep. of the Congo,0.64
2015,180,Dem. Rep. of the Congo,0.62
2018,180,Dem. Rep. of the Congo,0.94
2005,208,Denmark,1.0
2005,208,Denmark,1.04
2005,208,Denmark,1.05
2010,208,Denmark,1.0
2010,208,Denmark,1.01
2010,208,Denmark,1.0
2015,208,Denmark,0.99
2015,208,Denmark,1.05
2015,208,Denmark,1.08
2018,208,Denmark,1.0
2018,208,Denmark,1.0
2018,208,Denmark,1.02
2019,208,Denmark,1.0
2019,208,Denmark,0.99
2019,208,Denmark,1.01
2005,262,Djibouti,0.82
2005,262,Djibouti,0.66
2005,262,Djibouti,0.63
2015,262,Djibouti,1.07
2015,262,Djibouti,0.95
2015,262,Djibouti,0.89
2018,262,Djibouti,1.02
2018,262,Djibouti,1.0
2018,262,Djibouti,0.99
2019,262,Djibouti,1.0
2019,262,Djibouti,1.03
2019,262,Djibouti,0.99
2020,262,Djibouti,0.96
2020,262,Djibouti,1.03
2020,262,Djibouti,1.01
2005,212,Dominica,1.0
2005,212,Dominica,1.08
2005,212,Dominica,1.36
2010,212,Dominica,0.98
2010,212,Dominica,1.09
2010,212,Dominica,1.38
2015,212,Dominica,0.98
2015,212,Dominica,0.99
2015,212,Dominica,1.12
2019,212,Dominica,0.97
2019,212,Dominica,1.02
2019,212,Dominica,1.2
2020,212,Dominica,0.93
2020,212,Dominica,1.03
2020,212,Dominica,1.15
2005,214,Dominican Republic,0.95
2005,214,Dominican Republic,1.19
2005,214,Dominican Republic,1.24
2010,214,Dominican Republic,0.88
2010,214,Dominican Republic,1.12
2010,214,Dominican Republic,1.19
2015,214,Dominican Republic,0.91
2015,214,Dominican Republic,1.1
2015,214,Dominican Republic,1.15
2018,214,Dominican Republic,0.94
2018,214,Dominican Republic,1.08
2018,214,Dominican Republic,1.2
2019,214,Dominican Republic,0.95
2019,214,Dominican Republic,1.09
2019,214,Dominican Republic,1.19
2020,214,Dominican Republic,0.96
2020,214,Dominican Republic,1.09
2020,214,Dominican Republic,1.18
2005,218,Ecuador,1.0
2005,218,Ecuador,1.01
2005,218,Ecuador,1.07
2010,218,Ecuador,1.0
2010,218,Ecuador,1.05
2010,218,Ecuador,1.08
2015,218,Ecuador,1.0
2015,218,Ecuador,1.04
2015,218,Ecuador,1.06
2018,218,Ecuador,1.02
2018,218,Ecuador,1.03
2018,218,Ecuador,1.04
2019,218,Ecuador,1.02
2019,218,Ecuador,1.03
2019,218,Ecuador,1.04
2020,218,Ecuador,1.02
2020,218,Ecuador,1.02
2020,218,Ecuador,1.04
2018,818,Egypt,1.0
2018,818,Egypt,0.99
2018,818,Egypt,0.97
2019,818,Egypt,1.01
2019,818,Egypt,0.99
2019,818,Egypt,0.98
2005,222,El Salvador,0.97
2005,222,El Salvador,1.0
2005,222,El Salvador,1.04
2010,222,El Salvador,0.95
2010,222,El Salvador,0.99
2010,222,El Salvador,1.02
2015,222,El Salvador,0.96
2015,222,El Salvador,1.01
2015,222,El Salvador,1.05
2018,222,El Salvador,0.97
2018,222,El Salvador,0.99
2018,222,El Salvador,1.02
2019,222,El Salvador,0.98
2019,222,El Salvador,1.01
2019,222,El Salvador,1.04
2005,226,Equatorial Guinea,0.97
2005,226,Equatorial Guinea,0.74
2005,226,Equatorial Guinea,0.42
2010,226,Equatorial Guinea,0.99
2015,226,Equatorial Guinea,0.99
2005,232,Eritrea,0.81
2005,232,Eritrea,0.6
2005,232,Eritrea,0.53
2010,232,Eritrea,0.85
2010,232,Eritrea,0.77
2010,232,Eritrea,0.71
2015,232,Eritrea,0.86
2015,232,Eritrea,0.85
2015,232,Eritrea,0.85
2018,232,Eritrea,0.86
2018,232,Eritrea,0.91
2018,232,Eritrea,0.95
2005,233,Estonia,0.97
2005,233,Estonia,1.04
2005,233,Estonia,1.12
2010,233,Estonia,0.99
2010,233,Estonia,1.0
2010,233,Estonia,1.03
2015,233,Estonia,1.0
2015,233,Estonia,1.0
2015,233,Estonia,1.03
2018,233,Estonia,1.0
2018,233,Estonia,1.03
2018,233,Estonia,1.05
2019,233,Estonia,1.01
2019,233,Estonia,1.04
2019,233,Estonia,1.08
2005,748,Eswatini,0.93
2005,748,Eswatini,0.96
2005,748,Eswatini,0.88
2010,748,Eswatini,0.91
2010,748,Eswatini,0.95
2010,748,Eswatini,0.92
2015,748,Eswatini,0.91
2015,748,Eswatini,1.0
2015,748,Eswatini,0.99
2018,748,Eswatini,0.92
2019,748,Eswatini,0.92
2005,231,Ethiopia,0.84
2005,231,Ethiopia,0.6
2005,231,Ethiopia,0.67
2010,231,Ethiopia,0.92
2010,231,Ethiopia,0.83
2010,231,Ethiopia,0.7
2015,231,Ethiopia,0.91
2015,231,Ethiopia,0.96
2015,231,Ethiopia,0.98
2020,231,Ethiopia,0.91
2015,242,Fiji,0.98
2019,242,Fiji,0.96
2005,246,Finland,0.99
2005,246,Finland,1.05
2005,246,Finland,1.09
2010,246,Finland,0.99
2010,246,Finland,1.05
2010,246,Finland,1.09
2015,246,Finland,0.99
2015,246,Finland,1.1
2015,246,Finland,1.16
2018,246,Finland,0.99
2018,246,Finland,1.1
2018,246,Finland,1.17
2019,246,Finland,0.99
2019,246,Finland,1.1
